Database???Quarterly
Quarter£º2012-
Indicators,4Q 2023,3Q 2023,2Q 2023,1Q 2023,4Q 2022,3Q 2022,2Q 2022,1Q 2022,4Q 2021,3Q 2021,2Q 2021,1Q 2021,4Q 2020,3Q 2020,2Q 2020,1Q 2020,4Q 2019,3Q 2019,2Q 2019,1Q 2019,4Q 2018,3Q 2018,2Q 2018,1Q 2018,4Q 2017,3Q 2017,2Q 2017,1Q 2017,4Q 2016,3Q 2016,2Q 2016,1Q 2016,4Q 2015,3Q 2015,2Q 2015,1Q 2015,4Q 2014,3Q 2014,2Q 2014,1Q 2014,4Q 2013,3Q 2013,2Q 2013,1Q 2013,4Q 2012,3Q 2012,2Q 2012,1Q 2012
Per Capita Disposable Income Nationwide Accumulated(yuan),39218,29398,19672,10870,36883,27650,18463,10345,35128,26265,17642,9730,32189,23781,15666,8561,30733,22882,15294,8493,28228,21035,14063,7815,25974,19342,12932,7184,23821,17735,11886,6619,21966,16367,10931,6087,20167,14986,10025,5562,18311,13557,9049,5006,,,,
Per Capita Disposable Income Nationwide Accumulated Growth Rate(%),6.1,5.9,5.8,3.8,2.9,3.2,3.0,5.1,8.1,9.7,12.0,13.7,2.1,0.6,-1.3,-3.9,5.8,6.1,6.5,6.8,6.5,6.6,6.6,6.6,7.3,7.5,7.3,7.0,6.3,6.3,6.5,6.5,7.4,7.7,7.6,8.1,8.0,8.2,8.3,8.6,10.9,,,,,,,
Median of Per Capita Disposable Income Nationwide Accumulated(yuan),33036,24528,16393,8895,31370,23277,15560,8504,29975,22157,14897,8014,27540,20512,13347,7109,26523,19882,13281,7158,24336,18236,12186,6580,22408,16780,11238,6067,20883,15626,10505,5670,19281,14460,9700,5216,17570,13120,8780,4694,15632,11700,7723,4117,,,,
Median of Per Capita Disposable Income Nationwide Accumulated Growth Rate(%),5.3,5.4,5.4,4.6,4.7,5.1,4.5,6.1,8.8,8.0,11.6,12.7,3.8,3.2,0.5,-0.7,9.0,9.0,9.0,8.8,8.6,8.7,8.4,8.5,7.3,7.4,7.0,6.7,8.3,8.1,8.3,8.7,9.7,10.2,10.5,11.1,12.4,12.1,13.7,14.0,,,,,,,,
Income from Wages and Salaries Nationwide Accumulated(yuan),22053,16747,11300,6163,20590,15678,10576,5871,19629,14917,10104,5505,17917,13486,9010,4896,17186,13020,8793,4838,15829,11984,8091,4450,14620,11019,7435,4084,13455,10128,6846,3757,12459,9385,6308,3487,11421,8606,5785,3187,10411,7834,5225,2849,,,,
Income from Wages and Salaries Nationwide Accumulated Growth Rate(%),7.1,6.8,6.8,5.0,4.9,5.1,4.7,6.6,9.6,10.6,12.1,12.4,4.3,3.6,2.5,1.2,8.6,8.6,8.7,8.7,8.3,8.8,8.8,9.0,8.7,8.8,8.6,8.7,8.0,7.9,8.5,7.7,9.1,9.1,9.0,9.4,9.7,9.8,10.7,11.9,,,,,,,,
Net Business Income Nationwide Accumulated(yuan),6542,4643,3041,1834,6175,4352,2841,1733,5893,4136,2752,1645,5307,3680,2341,1376,5247,3757,2467,1486,4852,3437,2265,1372,4502,3212,2117,1280,4218,3029,1999,1207,3956,2805,1848,1122,3732,2628,1737,1047,3435,2383,1600,968,,,,
Net Business Income Nationwide Accumulated Growth Rate(%),6.0,6.7,7.0,5.8,4.8,5.2,3.2,5.4,11.0,12.4,17.5,19.5,1.1,-2.0,-5.1,-7.3,8.1,9.3,8.9,8.3,7.8,7.0,7.0,7.1,6.7,6.0,5.9,6.1,6.6,8.0,8.2,7.6,6.0,6.7,6.4,7.2,8.7,10.3,8.6,8.2,,,,,,,,
Net Income from Property Nationwide Accumulated(yuan),3362,2554,1743,958,3227,2463,1665,920,3076,2329,1582,867,2791,2090,1376,741,2619,1949,1321,721,2379,1735,1166,643,2107,1569,1056,583,1889,1421,963,545,1740,1313,882,480,1588,1192,804,443,1423,1044,704,390,,,,
Net Income from Property Nationwide Accumulated Growth Rate(%),4.2,3.7,4.7,4.1,4.9,5.8,5.2,6.1,10.2,11.4,15.0,17.0,6.6,7.2,4.2,2.7,10.1,12.3,13.2,12.2,12.9,10.6,10.5,10.3,11.6,10.4,9.6,6.9,8.6,8.2,9.2,13.6,9.6,10.1,9.7,8.3,11.6,14.2,14.2,13.6,,,,,,,,
Net Income from Transfer Nationwide Accumulated(yuan),7261,5454,3588,1915,6892,5157,3382,1822,6531,4884,3204,1714,6173,4525,2938,1548,5680,4157,2715,1449,5168,3879,2541,1351,4744,3542,2324,1237,4259,3158,2078,1111,3812,2865,1892,998,3427,2560,1698,885,3042,2295,1521,798,,,,
Net Income from Transfer Nationwide Accumulated Growth Rate(%),5.4,5.8,6.1,5.1,5.5,5.6,5.6,6.3,5.8,7.9,9.0,10.7,8.7,8.9,8.2,6.8,9.9,7.2,6.8,7.3,8.9,9.5,9.3,9.2,11.4,12.1,11.9,11.4,11.7,10.3,9.8,11.3,11.2,11.9,11.4,12.8,12.6,11.5,11.6,10.9,,,,,,,,
"Note:1.Growth rates of Per Capita Disposable Income,  and the other growth rates are Nominal Year-on-Year Growth Rates."
¡¡¡¡¡¡2.The median of per capita income refers to the per capita income of household lied in the middle of all surveyed households which are ranked from low to high (or high to low) based on per capita income level.
Data Sources£ºNational Bureau of Statistics
