DATE,PCAGDPGBA646NWDB
1960-01-01,1397.5948032844
1961-01-01,1472.38571407868
1962-01-01,1525.77585271032
1963-01-01,1613.45688373392
1964-01-01,1748.2881176141
1965-01-01,1873.56777435421
1966-01-01,1986.74715869685
1967-01-01,2058.78188198056
1968-01-01,1951.75859587532
1969-01-01,2100.66786858672
1970-01-01,2347.54431773747
1971-01-01,2649.80151387223
1972-01-01,3030.43251411977
1973-01-01,3426.27622050378
1974-01-01,3665.8627976419
1975-01-01,4299.74561799284
1976-01-01,4138.16778761535
1977-01-01,4681.43993173038
1978-01-01,5976.93816899991
1979-01-01,7804.76208051155
1980-01-01,10032.062080015
1981-01-01,9599.30622221965
1982-01-01,9146.07735701852
1983-01-01,8691.51881306514
1984-01-01,8179.19444064991
1985-01-01,8652.21654247593
1986-01-01,10611.112210096
1987-01-01,13118.586534629
1988-01-01,15987.1680775688
1989-01-01,16239.2821960944
1990-01-01,19095.4669984608
1991-01-01,19900.7266505069
1992-01-01,20487.1707852878
1993-01-01,18389.0195675099
1994-01-01,19709.2380983653
1995-01-01,23168.9529580171
1996-01-01,24406.400298359
1997-01-01,26766.0056249684
1998-01-01,28274.5045119699
1999-01-01,28762.0913570256
2000-01-01,28280.926786099
2001-01-01,27906.5695029641
2002-01-01,30077.741432188
2003-01-01,34442.6875402308
2004-01-01,40366.8886650968
2005-01-01,42104.7884375024
2006-01-01,44512.4590296865
2007-01-01,50397.6854954706
2008-01-01,47396.1202078484
2009-01-01,38744.131693043
2010-01-01,39598.957119545
2011-01-01,42109.6418795749
2012-01-01,42497.3404974322
2013-01-01,43426.2981405143
2014-01-01,47439.6165895125
2015-01-01,44964.3911437292
2016-01-01,40985.2351382417
2017-01-01,40572.1214823783
2018-01-01,43203.8141057739
2019-01-01,42662.5353740311
2020-01-01,40217.0090116986
2021-01-01,46869.759058411
2022-01-01,46125.2557513568
