DATE,A939RX0Q048SBEA
1947-01-01,60630.0
1948-01-01,62049.0
1949-01-01,60647.0
1950-01-01,64824.0
1951-01-01,68864.0
1952-01-01,70459.0
1953-01-01,72561.0
1954-01-01,70881.0
1955-01-01,74612.0
1956-01-01,74871.0
1957-01-01,75088.0
1958-01-01,73296.0
1959-01-01,77058.0
1960-01-01,77461.0
1961-01-01,78150.0
1962-01-01,81677.0
1963-01-01,84014.0
1964-01-01,87641.0
1965-01-01,92171.0
1966-01-01,97130.0
1967-01-01,98713.0
1968-01-01,102534.0
1969-01-01,104700.0
1970-01-01,103691.0
1971-01-01,105761.0
1972-01-01,110131.0
1973-01-01,115246.0
1974-01-01,113577.0
1975-01-01,112245.0
1976-01-01,117153.0
1977-01-01,121342.0
1978-01-01,126710.0
1979-01-01,129290.0
1980-01-01,127477.0
1981-01-01,129414.0
1982-01-01,125871.0
1983-01-01,130445.0
1984-01-01,138668.0
1985-01-01,143171.0
1986-01-01,146792.0
1987-01-01,150509.0
1988-01-01,155377.0
1989-01-01,159570.0
1990-01-01,160768.0
1991-01-01,158468.0
1992-01-01,161881.0
1993-01-01,164191.0
1994-01-01,168749.0
1995-01-01,171243.0
1996-01-01,175641.0
1997-01-01,181271.0
1998-01-01,187206.0
1999-01-01,193941.0
2000-01-01,199658.0
2001-01-01,199573.0
2002-01-01,201041.0
2003-01-01,204756.0
2004-01-01,210725.0
2005-01-01,216057.0
2006-01-01,219974.0
2007-01-01,222240.0
2008-01-01,220421.0
2009-01-01,212850.0
2010-01-01,216753.0
2011-01-01,218412.0
2012-01-01,221689.0
2013-01-01,224687.0
2014-01-01,228551.0
2015-01-01,233453.0
2016-01-01,235871.0
2017-01-01,240003.0
2018-01-01,245670.0
2019-01-01,250422.0
2020-01-01,243930.0
2021-01-01,257636.0
2022-01-01,261679.0
2023-01-01,266986.0
