date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2020-01-05,China,1.0,0.0,1.0,,,,,
2020-01-06,China,0.0,0.0,1.0,,,,,
2020-01-07,China,0.0,0.0,1.0,,,,,
2020-01-08,China,0.0,0.0,1.0,,,,,
2020-01-09,China,0.0,0.0,1.0,,,,,
2020-01-10,China,0.0,0.0,1.0,,1.0,0.0,,
2020-01-11,China,0.0,0.0,1.0,,1.0,0.0,,
2020-01-12,China,44.0,1.0,45.0,1.0,44.0,1.0,,
2020-01-13,China,0.0,0.0,45.0,1.0,44.0,1.0,,
2020-01-14,China,0.0,0.0,45.0,1.0,44.0,1.0,,
2020-01-15,China,0.0,0.0,45.0,1.0,44.0,1.0,,
2020-01-16,China,0.0,0.0,45.0,1.0,44.0,1.0,,
2020-01-17,China,0.0,0.0,45.0,1.0,44.0,1.0,45.0,1.0
2020-01-18,China,0.0,0.0,45.0,1.0,44.0,1.0,45.0,1.0
2020-01-19,China,80.0,2.0,125.0,3.0,80.0,2.0,124.0,3.0
2020-01-20,China,0.0,0.0,125.0,3.0,80.0,2.0,124.0,3.0
2020-01-21,China,0.0,0.0,125.0,3.0,80.0,2.0,124.0,3.0
2020-01-22,China,0.0,0.0,125.0,3.0,80.0,2.0,124.0,3.0
2020-01-23,China,0.0,0.0,125.0,3.0,80.0,2.0,124.0,3.0
2020-01-24,China,0.0,0.0,125.0,3.0,80.0,2.0,124.0,3.0
2020-01-25,China,0.0,0.0,125.0,3.0,80.0,2.0,124.0,3.0
2020-01-26,China,1860.0,53.0,1985.0,56.0,1860.0,53.0,1940.0,55.0
2020-01-27,China,0.0,0.0,1985.0,56.0,1860.0,53.0,1940.0,55.0
2020-01-28,China,0.0,0.0,1985.0,56.0,1860.0,53.0,1940.0,55.0
2020-01-29,China,0.0,0.0,1985.0,56.0,1860.0,53.0,1940.0,55.0
2020-01-30,China,0.0,0.0,1985.0,56.0,1860.0,53.0,1940.0,55.0
2020-01-31,China,0.0,0.0,1985.0,56.0,1860.0,53.0,1940.0,55.0
2020-02-01,China,0.0,0.0,1985.0,56.0,1860.0,53.0,1940.0,55.0
2020-02-02,China,12426.0,305.0,14411.0,361.0,12426.0,305.0,14286.0,358.0
2020-02-03,China,0.0,0.0,14411.0,361.0,12426.0,305.0,14286.0,358.0
2020-02-04,China,0.0,0.0,14411.0,361.0,12426.0,305.0,14286.0,358.0
2020-02-05,China,0.0,0.0,14411.0,361.0,12426.0,305.0,14286.0,358.0
